CNo,,ON,OFF,MA,IP,SV,UP,DN,LN,LP,STEP,PL,V,HP,PP,C,S,L,AL,JS,JM,OC,LD,粗糙度Ra,余量Gap
C192,=,800,50,2,205,60,10,20,0,0,0,+,1,31,11,0,3,1,15,1,0,0,0,,
C193,=,420,90,0,200,35,10,20,0,0,0,+,1,10,20,0,3,1,15,1,0,0,0,,
C194,=,400,120,0,200,45,10,20,0,0,0,+,1,10,20,0,3,1,15,1,0,0,0,,
C195,=,460,90,0,250,35,10,20,0,0,0,+,1,10,20,0,3,1,15,1,0,0,0,,
C196,=,460,120,0,250,45,10,20,0,0,0,+,1,10,20,0,3,1,15,1,0,0,0,,
C197,=,500,100,0,310,35,10,20,0,0,0,+,1,10,20,0,3,1,15,1,0,0,0,,
C198,=,500,130,0,310,45,10,20,0,0,0,+,1,10,20,0,3,1,15,1,0,0,0,,
C199,=,0,0,0,0,0,10,20,0,0,0,+,0,0,0,0,3,0,15,0,0,0,0,,
C200,=,60,30,0,10,60,10,20,301,0,0,+,1,51,10,0,3,1,15,2,2,0,0,,
C201,=,0,0,0,0,0,10,20,0,0,0,+,0,0,0,0,3,0,15,0,0,0,0,,
C202,=,0,0,0,0,0,10,20,0,0,0,+,0,0,0,0,3,0,15,0,0,0,0,,
C203,=,0,0,0,0,0,10,20,0,0,0,+,0,0,0,0,3,0,15,0,0,0,0,,
C204,=,0,0,0,0,0,10,20,0,0,0,+,0,0,0,0,3,0,15,0,0,0,0,,
C205,=,0,0,0,0,0,10,20,0,0,0,+,0,0,0,0,3,0,15,0,0,0,0,,
C206,=,0,0,0,0,0,10,20,0,0,0,+,0,0,0,0,3,0,15,0,0,0,0,,
C207,=,250,30,2,80,45,10,20,1,0,0,+,1,11,10,0,3,1,15,1,0,0,0,,
C208,=,1000,50,3,210,70,10,20,1,0,0,+,1,11,10,0,3,1,15,1,0,0,0,,
C209,=,1250,50,3,310,70,10,20,1,0,0,+,1,11,10,0,3,1,15,1,0,0,0,,
C210,=,80,30,0,20,60,10,20,301,0,0,+,1,51,10,0,3,1,15,2,2,0,0,,
C211,=,0,0,0,0,0,10,20,0,0,0,+,0,0,0,0,3,0,15,0,0,0,0,,
C212,=,0,0,0,0,0,10,20,0,0,0,+,0,0,0,0,3,0,15,0,0,0,0,,
C213,=,0,0,0,0,0,10,20,0,0,0,+,0,0,0,0,3,0,15,0,0,0,0,,
C214,=,0,0,0,0,0,10,20,0,0,0,+,0,0,0,0,3,0,15,0,0,0,0,,
C215,=,0,0,0,0,0,10,20,0,0,0,+,0,0,0,0,3,0,15,0,0,0,0,,
C216,=,0,0,0,0,0,10,20,0,0,0,+,0,0,0,0,3,0,15,0,0,0,0,,
C217,=,350,30,2,90,45,10,20,1,0,0,+,1,11,10,0,3,1,15,1,0,0,0,,
C218,=,1000,50,3,220,70,10,20,1,0,0,+,1,11,10,0,3,1,15,1,0,0,0,,
C219,=,0,0,0,0,0,10,20,0,0,0,+,0,0,0,0,3,0,15,0,0,0,0,,
C220,=,100,30,0,30,60,10,20,301,0,0,+,1,51,10,0,3,1,15,3,0,0,0,,
C221,=,0,0,0,0,0,10,20,0,0,0,+,0,0,0,0,3,0,15,0,0,0,0,,
C222,=,0,0,0,0,0,10,20,0,0,0,+,0,0,0,0,3,0,15,0,0,0,0,,
C223,=,0,0,0,0,0,10,20,0,0,0,+,0,0,0,0,3,0,15,0,0,0,0,,
C224,=,0,0,0,0,0,10,20,0,0,0,+,0,0,0,0,3,0,15,0,0,0,0,,
C225,=,0,0,0,0,0,10,20,0,0,0,+,0,0,0,0,3,0,15,0,0,0,0,,
C226,=,0,0,0,0,0,10,20,0,0,0,+,0,0,0,0,3,0,15,0,0,0,0,,
C227,=,550,30,3,110,45,10,20,1,0,0,+,1,11,10,0,3,1,15,1,0,0,0,,
C228,=,1000,50,3,230,70,10,20,1,0,0,+,1,11,10,0,3,1,15,1,0,0,0,,
